Animal_Type,Breed,Age,Gender,Weight,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Duration,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Nasal_Discharge,Eye_Discharge,Body_Temperature,Heart_Rate,Disease_Prediction
Cat,Ragdoll,4,Female,5,Eye Discharge,Nasal Discharge,Coughing,Lethargy,6 days,Yes,No,No,Yes,No,Yes,Yes,No,No,38.6°C,148.0072969,Feline Calicivirus
Sheep,Southdown,6,Female,80,Coughing,Loss of Appetite,Lethargy,Fever,5 days,Yes,No,Yes,Yes,No,Yes,Yes,No,No,39.3°C,73.9996533,Contagious Ecthyma
Horse,Thoroughbred,5,Female,550,Lameness,Swollen Legs,Loss of Appetite,Fever,6 days,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,39.5°C,99.9975491,Equine Influenza
Goat,Toggenburg,7,Female,65,Diarrhea,Dehydration,Lethargy,Appetite Loss,5 days,Yes,Yes,No,Yes,No,Yes,No,Yes,No,39.3°C,79.99913524,Coccidiosis
Cat,Siberian,5,Male,11,Coughing,Loss of Appetite,Nasal Discharge,Fever,4 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,39.2°C,140.0005386,Feline Leukemia Virus
Horse,Belgian,13,Female,650,Lameness,Swollen Joints,Fever,Weight Loss,8 days,No,Yes,No,Yes,Yes,No,No,No,Yes,39.5°C,74.00679018,Equine Infectious Anemia
Cow,Angus,3,Female,590,Decreased Milk Yield,Fever,Appetite Loss,Lethargy,7 days,Yes,No,No,No,No,No,No,No,No,39.5°C,69.98248526,Mastitis
Cow,Simmental,7,Female,650,Coughing,Loss of Appetite,Lethargy,Fever,5 days,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,39.3°C,74.99752288,Bovine Tuberculosis
Sheep,Suffolk,6,Male,90,Swollen Joints,Loss of Appetite,Lethargy,Coughing,5 days,Yes,Yes,No,Yes,No,Yes,No,Yes,No,39.4°C,78.00310542,Caseous Lymphadenitis
Cow,Ayrshire,5,Male,720,Coughing,Loss of Appetite,Lethargy,Fever,4 days,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,39.3°C,82.00472099,Bovine Tuberculosis
Horse,Percheron,5,Male,680,Lameness,Swollen Legs,Loss of Appetite,Fever,5 days,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,39.4°C,105.0110115,Equine Laminitis
Cat,Manx,4,Female,3,Eye Discharge,Nasal Discharge,Sneezing,Coughing,6 days,Yes,No,No,Yes,No,Yes,Yes,No,No,38.5°C,137.9826822,Feline Herpesvirus
Horse,Appaloosa,8,Male,700,Lameness,Loss of Appetite,Swollen Legs,Fever,7 days,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,39.3°C,81.99376613,West Nile Virus
Horse,Arabian,8,Female,490,Lameness,Fever,Coughing,Nasal Discharge,1 week,Yes,No,No,Yes,No,Yes,No,Yes,No,39.9°C,75.00455395,Strangles
Cow,Holstein,4,Male,700,Coughing,Loss of Appetite,Lethargy,Fever,5 days,Yes,Yes,No,No,Yes,No,Yes,No,Yes,39.3°C,77.00265522,Bovine Respiratory Disease
Horse,Appaloosa,9,Male,550,Lameness,Loss of Appetite,Swollen Legs,Fever,7 days,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,39.4°C,79.98867358,Equine Infectious Anemia
Sheep,Cheviot,4,Male,85,Coughing,Loss of Appetite,Lethargy,Fever,5 days,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,39.3°C,94.98941692,Blue Tongue Virus
Cow,Brahman,7,Female,620,Fever,Coughing,Lethargy,Decreased Milk Yield,5 days,Yes,No,Yes,Yes,No,Yes,No,No,No,39.6°C,80.98499718,Mastitis
Dog,Beagle,2,Male,10,Lethargy,Vomiting,Loss of Appetite,Fever,4 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,39.4°C,120.0299645,Canine Leptospirosis
Goat,Boer,7,Female,120,Vomiting,Diarrhea,Lethargy,Fever,5 days,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,39.5°C,90.01052883,Foot-and-Mouth Disease
Dog,Dalmatian,8,Female,20,Vomiting,Diarrhea,Weight Loss,Dehydration,4 days,Yes,No,Yes,No,Yes,No,No,Yes,No,39.0°C,119.9896263,Pancreatitis
Horse,Thoroughbred,5,Male,550,Lameness,Swollen Legs,Loss of Appetite,Fever,6 days,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,39.5°C,109.9806344,Equine Infectious Anemia
Dog,German Shepherd,3,Female,30,Lameness,Fever,Skin Lesions,Lethargy,7 days,Yes,No,No,No,No,Yes,Yes,No,No,39.3°C,110.005039,Lyme Disease
Cat,Bengal,3,Female,6,Nasal Discharge,Loss of Appetite,Coughing,Fever,4 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,39.1°C,145.0034084,Feline Herpesvirus
Cow,Jersey,4,Female,580,Lethargy,Decreased Milk Yield,Fever,No,8 days,Yes,No,No,No,No,No,No,No,No,39.6°C,70.00818899,Mastitis
Cow,Holstein,4,Female,580,Appetite Loss,Diarrhea,Lethargy,Decreased Milk Yield,7 days,Yes,No,Yes,No,No,No,No,No,No,39.4°C,81.98938448,Johne's Disease
Pig,Berkshire,4,Male,95,Coughing,Loss of Appetite,Lethargy,Nasal Discharge,3 days,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,39.2°C,88.00594214,Porcine Reproductive and Respiratory Syndrome
Cat,Siberian,2,Male,6,Coughing,Sneezing,Nasal Discharge,Eye Discharge,4 days,Yes,No,Yes,No,No,Yes,No,Yes,No,38.6°C,144.0014377,Feline Calicivirus
Horse,Arabian,5,Male,450,Lameness,Loss of Appetite,Swollen Legs,Fever,7 days,Yes,No,No,Yes,Yes,Yes,No,Yes,No,39.4°C,110.0059252,Equine Infectious Anemia
Dog,Poodle,8,Male,15,Coughing,Labored Breathing,Lethargy,Appetite Loss,1 week,Yes,No,Yes,No,Yes,No,No,No,Yes,39.3°C,125.9984134,Kennel Cough
Cow,Limousin,6,Male,650,Coughing,Loss of Appetite,Lethargy,Fever,5 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,39.5°C,80.01844784,Bovine Respiratory Disease Complex
Horse,Percheron,5,Male,680,Lameness,Swollen Legs,Loss of Appetite,Fever,5 days,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,39.4°C,104.992052,Equine Laminitis
Cat,Siamese,2,Female,4,Coughing,Sneezing,Eye Discharge,Nasal Discharge,1 week,No,No,No,Yes,No,No,No,Yes,Yes,38.9°C,150.0120015,Upper Respiratory Infection
Cow,Guernsey,3,Male,580,Coughing,Loss of Appetite,Lethargy,Fever,4 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,39.4°C,84.9971828,Bovine Respiratory Disease
Dog,Husky,9,Male,25,Lethargy,Vomiting,Diarrhea,Loss of Appetite,4 days,Yes,Yes,No,Yes,Yes,No,No,No,No,39.1°C,124.0141847,Canine Parvovirus
Rabbit,Holland Lop,3,Female,2,Sneezing,Nasal Discharge,Loss of Appetite,Lethargy,5 days,No,Yes,No,Yes,Yes,No,No,Yes,No,38.6°C,160.001629,Snuffles
Sheep,Romney,5,Female,90,Coughing,Loss of Appetite,Lethargy,Fever,4 days,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,39.1°C,75.0057522,Maedi-Visna
Rabbit,Mini Rex,2,Female,2,Sneezing,Loss of Appetite,Nasal Discharge,Fever,3 days,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,39.1°C,129.9970971,Pneumonia
Dog,Poodle,6,Male,25,Lethargy,Loss of Appetite,Coughing,Fever,5 days,Yes,Yes,No,Yes,No,No,Yes,Yes,No,39.3°C,109.9993833,Canine Distemper
Cat,Maine Coon,5,Male,8,Coughing,Loss of Appetite,Nasal Discharge,Fever,5 days,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,39.0°C,134.9867567,Feline Panleukopenia Virus
Pig,Duroc,4,Female,105,Coughing,Loss of Appetite,Nasal Discharge,Lethargy,3 days,Yes,No,Yes,No,Yes,No,Yes,No,Yes,39.5°C,83.00625583,Porcine Respiratory Disease Complex
Horse,Arabian,10,Female,450,Lameness,Fever,Swollen Joints,Lethargy,8 days,No,No,No,Yes,Yes,No,No,No,No,39.4°C,74.99313989,Equine Arthritis
Dog,Doberman Pinscher,6,Male,40,Vomiting,Lethargy,Loss of Appetite,Coughing,5 days,Yes,Yes,No,Yes,No,No,Yes,Yes,No,39.3°C,118.9798738,Canine Distemper
Cow,Aberdeen Angus,6,Female,620,Coughing,Fever,Loss of Appetite,Lethargy,5 days,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,39.2°C,80.00296793,Bovine Respiratory Disease
Pig,Landrace,6,Male,120,Coughing,Loss of Appetite,Nasal Discharge,Fever,5 days,Yes,No,Yes,Yes,No,No,Yes,Yes,No,39.1°C,94.9887011,Actinobacillus Pleuropneumonia
Horse,Morgan,9,Male,600,Lameness,Swollen Legs,Loss of Appetite,Fever,6 days,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,39.5°C,79.99603619,West Nile Virus
Goat,Nubian,7,Female,120,Vomiting,Diarrhea,Lethargy,Fever,5 days,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,39.7°C,84.985259,Foot-and-Mouth Disease
Dog,Chihuahua,4,Female,5,Lethargy,Vomiting,Loss of Appetite,Fever,3 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,39.1°C,109.9916638,Canine Parvovirus
Rabbit,Himalayan,2,Male,1,Sneezing,Loss of Appetite,Nasal Discharge,Fever,3 days,Yes,No,Yes,Yes,No,No,Yes,No,Yes,38.7°C,154.9848724,Rabbit Hemorrhagic Disease
Sheep,Tunis,4,Male,95,Swollen Joints,Coughing,Loss of Appetite,Lethargy,5 days,Yes,Yes,No,Yes,No,Yes,Yes,No,No,39.2°C,75.99809664,Bluetongue Virus
Pig,Tamworth,3,Male,100,Coughing,Lethargy,Nasal Discharge,Loss of Appetite,4 days,Yes,Yes,No,Yes,Yes,No,Yes,No,No,39.6°C,85.0161149,Porcine Epidemic Diarrhea
Goat,Boer,6,Male,100,Vomiting,Diarrhea,Lethargy,Fever,5 days,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,39.6°C,84.99339378,Pneumonia
Horse,Arabian,7,Female,500,Lameness,Loss of Appetite,Swollen Legs,Fever,6 days,No,Yes,Yes,Yes,No,Yes,Yes,No,No,39.3°C,84.99509593,Equine Protozoal Myeloencephalitis
Cat,Siamese,6,Male,6,Coughing,Loss of Appetite,Lethargy,Fever,4 days,Yes,No,No,Yes,No,No,Yes,Yes,No,39.0°C,149.0332168,Feline Infectious Peritonitis
Horse,Standardbred,6,Male,650,Lameness,Swollen Legs,Loss of Appetite,Fever,6 days,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,39.4°C,79.99575155,Equine Influenza
Rabbit,Himalayan,2,Male,2,Sneezing,Loss of Appetite,Nasal Discharge,Fever,4 days,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,39.2°C,130.0129842,Rabbit Viral Hemorrhagic Disease
Horse,Thoroughbred,5,Male,550,Lameness,Swollen Legs,Loss of Appetite,Fever,6 days,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,39.5°C,109.9836188,Equine Infectious Anemia
Cow,Brahman,7,Female,620,Fever,Coughing,Lethargy,Decreased Milk Yield,5 days,Yes,No,Yes,Yes,No,Yes,No,No,No,39.6°C,81.01120902,Mastitis
Cat,Abyssinian,5,Male,5,Coughing,Loss of Appetite,Nasal Discharge,Fever,3 days,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,39.0°C,139.9997483,Feline Respiratory Disease Complex
Sheep,Cheviot,4,Female,120,Coughing,Loss of Appetite,Lethargy,Fever,6 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,39.4°C,84.99371616,Scrapie
Goat,Boer,6,Male,70,Vomiting,Diarrhea,Loss of Appetite,Fever,5 days,Yes,Yes,No,Yes,No,Yes,Yes,No,No,39.4°C,80.00739666,Caprine Arthritis Encephalitis
Sheep,Tunis,4,Male,95,Swollen Joints,Coughing,Loss of Appetite,Lethargy,5 days,Yes,Yes,No,Yes,No,Yes,Yes,No,No,39.2°C,76.00044574,Bluetongue Virus
Sheep,Finnsheep,4,Male,70,Coughing,Lethargy,Loss of Appetite,Swollen Joints,5 days,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,39.0°C,75.00208957,Scrapie
Horse,Arabian,7,Female,550,Lameness,Swollen Legs,Loss of Appetite,Fever,7 days,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,39.7°C,100.0121202,Equine Infectious Anemia
Cat,Sphynx,4,Female,3,Eye Discharge,Nasal Discharge,Appetite Loss,Lethargy,1 week,No,No,No,Yes,Yes,No,No,Yes,Yes,39.3°C,149.9891594,Feline Upper Respiratory Infection
Cow,Angus,6,Male,550,Coughing,Nasal Discharge,Fever,Weight Loss,7 days,Yes,No,Yes,Yes,Yes,No,Yes,No,No,39.4°C,82.01407339,Bovine Respiratory Disease
Cow,Hereford,5,Male,650,Fever,Lethargy,Decreased Milk Yield,Appetite Loss,5 days,Yes,No,No,No,No,No,No,No,No,39.7°C,80.01056167,Bovine Respiratory Disease
Cow,Jersey,6,Female,550,Coughing,Loss of Appetite,Lethargy,Fever,5 days,Yes,No,Yes,No,Yes,Yes,No,Yes,No,39.6°C,69.99776934,Johne's Disease
Cow,Guernsey,4,Male,590,Appetite Loss,Lethargy,Diarrhea,Dehydration,5 days,Yes,No,No,Yes,No,No,Yes,No,No,39.3°C,83.98489208,Bovine Coccidiosis
Rabbit,English Angora,1,Female,2,Sneezing,Loss of Appetite,Nasal Discharge,Fever,5 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,39.2°C,120.0018584,Respiratory Infection
Cat,Siamese,3,Female,7,Coughing,Loss of Appetite,Nasal Discharge,Fever,3 days,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,39.0°C,140.023179,Feline Infectious Peritonitis
Dog,Bulldog,5,Male,23,Labored Breathing,Coughing,Nasal Discharge,Appetite Loss,6 days,Yes,No,No,Yes,Yes,No,No,Yes,No,40.0°C,114.9909692,Canine Distemper
Cow,Holstein,8,Female,750,Coughing,Loss of Appetite,Lethargy,Fever,7 days,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,39.5°C,84.99529834,Bovine Respiratory Disease Complex
Rabbit,English Angora,4,Female,2,Sneezing,Nasal Discharge,Weight Loss,Lethargy,3 days,Yes,No,No,Yes,Yes,No,Yes,No,Yes,38.6°C,150.0016657,Rabbit Viral Hemorrhagic Disease
Cow,Brown Swiss,9,Male,600,Labored Breathing,Nasal Discharge,Coughing,Fever,6 days,Yes,No,Yes,Yes,No,Yes,No,No,Yes,39.6°C,80.00783738,Bovine Respiratory Disease
Cat,Sphynx,5,Female,3,Vomiting,Appetite Loss,Diarrhea,Weight Loss,6 days,Yes,Yes,No,No,Yes,No,Yes,No,No,38.7°C,143.0018687,Gastroenteritis
Goat,Kiko,3,Male,75,Nasal Discharge,Fever,Weight Loss,Loss of Appetite,6 days,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,39.2°C,82.00477072,Caprine Respiratory Disease
Cat,Siberian,2,Male,5,Coughing,Sneezing,Nasal Discharge,Eye Discharge,4 days,Yes,No,Yes,No,No,Yes,No,Yes,No,38.6°C,143.9971964,Feline Calicivirus
Goat,Saanen,3,Female,75,Vomiting,Diarrhea,Lethargy,Fever,5 days,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,39.5°C,89.99872954,Caprine Arthritis Encephalitis
Cat,Siamese,4,Female,4,Nasal Discharge,Lethargy,Loss of Appetite,Fever,6 days,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,38.8°C,145.0058001,Feline Leukemia Virus
Cat,Persian,3,Female,5,Coughing,Sneezing,Nasal Discharge,Fever,4 days,Yes,Yes,No,Yes,No,No,No,Yes,No,39.1°C,109.9835507,Feline Calicivirus
Horse,Thoroughbred,6,Male,550,Lameness,Loss of Appetite,Swollen Legs,Fever,5 days,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,39.5°C,77.98578318,Equine Influenza
Cat,Maine Coon,6,Male,9,Coughing,Loss of Appetite,Nasal Discharge,Fever,5 days,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,39.4°C,139.9929398,Feline Herpesvirus
Goat,Alpine,5,Male,80,Vomiting,Diarrhea,Loss of Appetite,Fever,4 days,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,39.5°C,80.00512957,Caseous Lymphadenitis
Rabbit,Holland Lop,1,Male,1,Sneezing,Loss of Appetite,Nasal Discharge,Fever,3 days,Yes,Yes,No,Yes,No,Yes,Yes,No,No,38.9°C,153.0013436,Rabbit Syphilis
Cat,Sphynx,4,Female,3,Eye Discharge,Nasal Discharge,Appetite Loss,Lethargy,1 week,No,No,No,Yes,Yes,No,No,Yes,Yes,39.3°C,149.9971598,Feline Upper Respiratory Infection
Horse,Quarter Horse,9,Female,480,Coughing,Nasal Discharge,Fever,Labored Breathing,6 days,Yes,No,No,Yes,Yes,No,No,No,No,39.9°C,85.00377242,Equine Rhinopneumonitis
Horse,Belgian,13,Female,650,Lameness,Swollen Joints,Fever,Weight Loss,8 days,No,Yes,No,Yes,Yes,No,No,No,Yes,39.5°C,73.97727266,Equine Infectious Anemia
Horse,Welsh Pony,5,Female,400,Lameness,Loss of Appetite,Swollen Legs,Fever,4 days,No,Yes,Yes,No,Yes,No,Yes,Yes,No,39.4°C,77.98734076,Equine Influenza
Horse,Clydesdale,8,Male,800,Lameness,Swollen Legs,Loss of Appetite,Fever,6 days,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,39.6°C,84.98622394,Equine Encephalomyelitis
Sheep,Blackface,4,Male,95,Coughing,Loss of Appetite,Lethargy,Fever,6 days,Yes,No,Yes,No,Yes,Yes,No,Yes,No,39.3°C,77.00631811,Blue Tongue Disease
Dog,Labrador,4,Male,30,Vomiting,Loss of Appetite,Lethargy,Fever,5 days,Yes,Yes,No,Yes,No,No,No,Yes,No,39.2°C,99.99665356,Canine Parvovirus
Cat,Maine Coon,6,Female,7,Appetite Loss,Vomiting,Diarrhea,Skin Lesions,4 days,Yes,Yes,Yes,No,No,Yes,No,No,No,38.9°C,144.9894182,Feline Infectious Peritonitis
Horse,Quarter Horse,12,Male,500,Lameness,Fever,Swollen Joints,Reduced Appetite,5 days,No,No,No,Yes,No,Yes,No,No,No,39.7°C,78.0104529,Equine Infectious Anemia
Goat,Toggenburg,2,Female,70,Vomiting,Diarrhea,Lethargy,Fever,4 days,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,39.4°C,90.00286631,Caprine Arthritis Encephalitis
Dog,Chihuahua,3,Male,2,Sneezing,Eye Discharge,Labored Breathing,Lethargy,5 days,Yes,No,No,Yes,No,No,Yes,No,Yes,39.5°C,131.0169716,Allergic Rhinitis
Sheep,Suffolk,5,Female,90,Coughing,Lethargy,Loss of Appetite,Fever,4 days,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,39.2°C,71.99811592,Foot and Mouth Disease
